;vorname;anzahl;geschlecht;position
CW;Josefine;2;w;3
CW;Rocco;2;m;3
CW;Leonore;2;w;3
CW;Stefan;2;m;3
CW;Linh;2;w;3
CW;Subhi;2;m;3
CW;Louise;2;w;3
CW;Valentin;2;m;3
CW;Madeleine;2;w;3
CW;Walter;2;m;3
CW;Pauline;2;w;3
CW;Ruth;2;w;3
CW;Sabine;2;w;3
CW;Valentina;2;w;3
CW;Victoria;2;w;3
CW;Viktoria;2;w;3
CW;Alessia;2;w;2
CW;Alice;2;w;2
CW;Anja;2;w;2
CW;Annabelle;2;w;2
CW;Aurelia;2;w;2
CW;Azra;2;w;2
CW;Belen;2;w;2
CW;Carla;2;w;2
CW;Ceylin;2;w;2
CW;Charlotta;2;w;2
CW;Christa;2;w;2
CW;Christin;2;w;2
CW;Claire;2;w;2
CW;Cosima;2;w;2
CW;Cécilia;2;w;2
CW;Danilovna;2;w;2
CW;Diana;2;w;2
CW;Dmytrivna;2;w;2
CW;Dora;2;w;2
CW;Elea;2;w;2
CW;Abdulkarim;2;m;2
CW;Elin;2;w;2
CW;Adrian;2;m;2
CW;Elli;2;w;2
CW;Ahmad;2;m;2
CW;Elmas;2;w;2
CW;Ahmed;2;m;2
CW;Emily;2;w;2
CW;Ahmet;2;m;2
CW;Erika;2;w;2
CW;Alfred;2;m;2
CW;Esther;2;w;2
CW;Alim;2;m;2
CW;Fiona;2;w;2
CW;Anthony;2;m;2
CW;Flora;2;w;2
CW;Antonin;2;m;2
CW;Florentine;2;w;2
CW;Aras;2;m;2
CW;Frida;2;w;2
CW;Arnold;2;m;2
CW;Gina;2;w;2
CW;Arved;2;m;2
CW;Grace;2;w;2
CW;Asaf;2;m;2
CW;Heather;2;w;2
CW;Aziz;2;m;2
CW;Henriette;2;w;2
CW;Boris;2;m;2
CW;Inge;2;w;2
CW;Carlo;2;m;2
CW;Ingrid;2;w;2
CW;Charlie;2;m;2
CW;Irena;2;w;2
CW;Christopher;2;m;2
CW;Irene;2;w;2
CW;Dean;2;m;2
CW;Irma;2;w;2
CW;Deniz;2;m;2
CW;Isabell;2;w;2
CW;Edgar;2;m;2
CW;Jane;2;w;2
CW;Edward;2;m;2
CW;Julia;2;w;2
CW;Eliah;2;m;2
CW;Julie;2;w;2
CW;Elliot;2;m;2
CW;Lee;2;w;2
CW;Emin;2;m;2
CW;Leonie;2;w;2
CW;Emmanuel;2;m;2
CW;Linnea;2;w;2
CW;Emrah;2;m;2
CW;Liva;2;w;2
CW;Eray;2;m;2
CW;Lucie;2;w;2
CW;Ernst;2;m;2
CW;Lynn;2;w;2
CW;Fabio;2;m;2
CW;Madita;2;w;2
CW;Fiete;2;m;2
CW;Manon;2;w;2
CW;Florian;2;m;2
CW;Manuela;2;w;2
CW;Francesco;2;m;2
CW;Margot;2;w;2
CW;Frederic;2;m;2
CW;Marieke;2;w;2
CW;Frederick;2;m;2
CW;Marija;2;w;2
CW;Fredrik;2;m;2
CW;Marina;2;w;2
CW;Fridolin;2;m;2
CW;Marit;2;w;2
CW;Gerhard;2;m;2
CW;Marlen;2;w;2
CW;Guido;2;m;2
CW;Martina;2;w;2
CW;Hendrik;2;m;2
CW;Mavi;2;w;2
CW;Hüseyin;2;m;2
CW;Melek;2;w;2
CW;Ibrahim;2;m;2
CW;Merle;2;w;2
CW;Ilias;2;m;2
CW;Meta;2;w;2
CW;İlyas;2;m;2
CW;Michelle;2;w;2
CW;Jakub;2;m;2
CW;Mika;2;w;2
CW;Jaro;2;m;2
CW;Milena;2;w;2
CW;Jonah;2;m;2
CW;Milou;2;w;2
CW;Jonte;2;m;2
CW;Minerva;2;w;2
CW;José;2;m;2
CW;Minou;2;w;2
CW;Junior;2;m;2
CW;Minu;2;w;2
CW;Justus;2;m;2
CW;Nele;2;w;2
CW;Kaan;2;m;2
CW;Nia;2;w;2
CW;Kamil;2;m;2
CW;Nisa;2;w;2
CW;Karsten;2;m;2
CW;Nora;2;w;2
CW;Kurt;2;m;2
CW;Nour;2;w;2
CW;Lasse;2;m;2
CW;Ottilie;2;w;2
CW;Leander;2;m;2
CW;Patricia;2;w;2
CW;Lenz;2;m;2
CW;Philine;2;w;2
CW;Leon;2;m;2
CW;Philippa;2;w;2
CW;Leonidas;2;m;2
CW;Rachel;2;w;2
CW;Lewis;2;m;2
CW;Ronja;2;w;2
CW;Lorenz;2;m;2
CW;Rosemarie;2;w;2
CW;Lucas;2;m;2
CW;Ruby;2;w;2
CW;Ludwig;2;m;2
CW;Sena;2;w;2
CW;Lunis;2;m;2
CW;Sergeevna;2;w;2
CW;Maarten;2;m;2
CW;Soraya;2;w;2
CW;Marco;2;m;2
CW;Thea;2;w;2
CW;Marek;2;m;2
CW;Theres;2;w;2
CW;Markus;2;m;2
CW;Wilhelmine;2;w;2
CW;Maximillian;2;m;2
CW;Yade;2;w;2
CW;Miguel;2;m;2
CW;Zoey;2;w;2
CW;Momo;2;m;2
CW;Moritz;2;m;2
CW;Mustafa;2;m;2
CW;Nicholas;2;m;2
CW;Nikolaus;2;m;2
CW;Nils;2;m;2
CW;Olaf;2;m;2
CW;Oleksandrovič;2;m;2
CW;Pablo;2;m;2
CW;Pavlovič;2;m;2
CW;Philip;2;m;2
CW;Ricardo;2;m;2
CW;Richard;2;m;2
CW;Robin;2;m;2
CW;Ruben;2;m;2
CW;Rudolf;2;m;2
CW;Taha;2;m;2
CW;Theo;2;m;2
CW;Thore;2;m;2
CW;Titus;2;m;2
CW;Vincent;2;m;2
CW;Vitus;2;m;2
CW;Willi;2;m;2
CW;Yahya;2;m;2
CW;Yasin;2;m;2
CW;Yul;2;m;2
CW;Ömer;2;m;2
CW;Adele;2;w;1
CW;Aimée;2;w;1
CW;Aleyna;2;w;1
CW;Alicja;2;w;1
CW;Amalie;2;w;1
CW;Amy;2;w;1
CW;Anabelle;2;w;1
CW;Angela;2;w;1
CW;Anisa;2;w;1
CW;Anja;2;w;1
CW;Arin;2;w;1
CW;Asja;2;w;1
CW;Bella;2;w;1
CW;Bianca;2;w;1
CW;Abdullah;2;m;1
CW;Caroline;2;w;1
CW;Adnan;2;m;1
CW;Cecilia;2;w;1
CW;Advik;2;m;1
CW;Celina;2;w;1
CW;Ahmed;2;m;1
